Station1,Station2,Station3,Station4,Station5,Station6,First,Last,F_Low,F_High,Species,Individual,Comments
Ex-8,Ex-5,Ex-6,Ex-9,Ex-4,,0.8,1.1,2000,6500,REVI,1,
Ex-8,Ex-5,Ex-6,Ex-9,Ex-4,,1.9,2.2,2000,6500,REVI,1,
Ex-8,Ex-5,Ex-6,Ex-9,Ex-4,,2.8,3.1,2000,6500,REVI,1,
Ex-8,Ex-5,Ex-6,Ex-9,Ex-4,,4.2,4.5,2000,6500,REVI,1,
Ex-8,Ex-5,Ex-6,Ex-9,Ex-4,,5,5.3,2000,6500,REVI,1,
Ex-8,Ex-5,Ex-6,Ex-9,Ex-4,,6.1,6.4,2000,6500,REVI,1,
,,,,,,,,,,,,Ignoring YEWA near Ex-8
,,,,,,,,,,,,Ignoring faint CCSP near Ex-7
,,,,,,,,,,,,Ignoring HOWR near Ex-3
Ex-5,Ex-2,Ex-3,Ex-6,,,4,5.9,4000,8000,CCSP,1,
